PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Large Office,CD-7,17,204790,91.0,7739699.0,100.26,86,1,1,0
Small- and Mid-Sized Office,CD-7,5,73399,61.0,3757006.0,26.19,100,0,1,0
Large Office,CD-7,20,265851,90.0,14633233.0,563.25,47,0,1,1
Large Office,CD-7,25,758043,95.0,27018020.0,229.25,7,1,1,0
Large Office,CD-7,12,206000,91.0,8580279.0,222.19,48,0,1,1
Large Office,CD-7,36,824887,97.0,39523852.0,275.54,7,0,1,0
Large Office,CD-7,16,480840,94.0,17867002.0,130.73,26,1,1,0
Small- and Mid-Sized Office,CD-7,7,89550,85.0,3903259.75,51.67,116,0,1,1
Small- and Mid-Sized Office,CD-7,6,89355,66.0,4178233.5,31.97,116,1,1,0
Large Office,CD-7,15,388934,89.0,18576900.0,213.23,94,0,1,1
Large Office,CD-7,22,384302,98.0,10062436.0,70.15,87,0,1,0
Large Office,CD-7,17,378525,69.0,24906132.0,940.47,58,0,1,1
Large Office,CD-7,47,1323055,94.0,44683660.0,318.97,33,1,1,0
Large Office,CD-7,41,589921,84.0,24603420.0,171.52,30,0,1,0
Small- and Mid-Sized Office,CD-7,6,91091,,1835804.875,46.56,66,0,1,1
Large Office,CD-7,8,157941,81.0,3743228.5,26.1,48,0,1,0
Large Office,CD-7,29,635303,95.0,18221224.0,139.72,25,0,1,1
Large Office,CD-7,34,776762,81.0,32552428.0,231.32,36,1,1,0
Large Office,CD-7,14,186768,95.0,9641043.0,218.53,44,0,1,1
Large Office,CD-7,49,1123435,89.0,45163308.0,627.87,47,1,1,0
Large Office,CD-7,37,1052469,93.0,41213584.0,287.32,14,0,1,0
Large Office,CD-7,42,617684,28.0,69519808.0,546.65,43,0,1,1
Large Office,CD-7,8,201480,91.0,8921778.0,175.95,109,0,1,1
Large Office,CD-3,63,1354987,89.0,61576184.0,429.27,26,0,1,0
Large Office,CD-3,14,310490,,21169502.0,380.37,15,1,1,0
Large Office,CD-7,8,199530,69.0,13214416.0,298.61,13,1,1,0
Large Office,CD-7,13,372242,98.0,13843866.0,216.24,10,1,1,0
Large Office,CD-7,7,114395,99.0,2746560.75,70.17,107,1,1,0
Retail Store,CD-4,2,89200,83.0,6461937.0,89.47,38,1,1,0
Large Office,CD-4,23,474546,77.0,28450436.0,198.34,45,0,1,0
Other,CD-4,5,36000,96.0,30038490.0,209.41,47,0,1,0
Small- and Mid-Sized Office,CD-4,5,99005,70.0,4728488.5,119.03,55,1,1,0
Large Office,CD-4,6,135051,88.0,4426136.0,30.86,14,0,1,0
Large Office,CD-4,5,220649,93.0,7046345.5,49.12,14,0,1,0
Self-Storage Facility,CD-7,5,93660,,873221.875,6.09,52,0,1,0
Large Office,CD-7,18,413715,79.0,24224888.0,168.88,36,0,1,0
Mixed Use Property,CD-7,11,381381,94.0,9765777.0,72.42,16,1,1,0
Large Office,CD-7,20,497513,65.0,26823218.0,197.19,28,1,1,0
Large Office,CD-7,24,543876,79.0,25307744.0,176.43,37,0,1,0
Mixed Use Property,CD-7,4,109347,,8218155.5,91.13,36,1,1,0
Large Office,CD-7,6,396626,64.0,20361158.0,141.95,34,0,1,0
Large Office,CD-7,6,287471,74.0,14913424.0,103.97,14,0,1,0
Large Office,CD-7,3,192630,94.0,5357833.0,46.03,69,1,1,0
Large Office,CD-7,8,253103,3.0,29949248.0,208.79,32,0,1,0
Supermarket / Grocery Store,CD-6,1,60880,54.0,14293972.0,384.27,60,1,1,0
Small- and Mid-Sized Office,CD-7,5,50176,77.0,2933288.75,24.91,116,1,1,0
Large Office,CD-7,42,304346,72.0,23262244.0,741.3,104,1,1,1
Warehouse,CD-2,1,128800,97.0,1809101.5,78.92,39,1,1,0
Large Office,CD-7,8,321945,76.0,13656587.0,355.05,89,0,1,1
Large Office,CD-7,22,336330,77.0,18967014.0,530.66,52,1,1,1
Large Office,CD-7,21,298426,79.0,27076922.0,1084.79,56,0,1,1
Large Office,CD-7,42,635824,69.0,48479988.0,337.97,40,0,1,0
Hotel,CD-7,12,542305,45.0,56485204.0,2573.75,93,1,1,1
Retail Store,CD-2,2,291940,80.0,11688601.0,162.45,36,1,1,0
Mixed Use Property,CD-2,1,88400,42.0,4383100.5,116.03,46,1,1,0
