PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Small- and Mid-Sized Office,CD-6,1,20678,98.0,770333.0,32.63,56,1,1,0
K-12 School,CD-6,3,28820,43.0,2595783.5,106.45,94,1,1,0
Worship Facility,CD-2,2,27876,69.0,1829981.375,68.97,62,1,1,0
Senior Care Community,CD-2,2,48882,51.0,6782435.0,235.26,50,1,1,0
Warehouse,CD-2,1,22320,62.0,439065.9063,3.06,39,0,1,0
Other,CD-2,1,47105,,10234721.0,348.22,40,1,1,0
Small- and Mid-Sized Office,CD-2,2,40029,69.0,1471914.25,10.26,34,0,1,0
Small- and Mid-Sized Office,CD-2,2,28304,67.0,1269367.5,8.85,46,0,1,0
Other,CD-2,1,26400,,452612.5,3.16,46,0,1,0
Warehouse,CD-2,1,27680,,1778431.75,64.81,48,1,1,0
Small- and Mid-Sized Office,CD-2,2,25872,,1787119.0,45.79,47,1,1,0
Small- and Mid-Sized Office,CD-2,2,25872,41.0,2399353.5,81.96,47,1,1,0
Warehouse,CD-2,1,20500,65.0,222600.0938,1.55,47,0,1,0
Small- and Mid-Sized Office,CD-4,2,21436,95.0,534703.6875,3.73,58,0,1,0
Mixed Use Property,CD-3,1,20233,,630250.125,18.16,18,1,1,0
Small- and Mid-Sized Office,CD-6,4,39926,,1010967.688,14.49,10,1,1,0
Small- and Mid-Sized Office,CD-4,3,31417,94.0,1126157.25,28.09,31,1,1,0
Self-Storage Facility,CD-7,6,46580,,710275.375,4.95,88,0,1,0
Retail Store,CD-7,2,25920,5.0,478690.0938,3.34,100,0,1,0
Retail Store,CD-7,2,25920,93.0,1011667.5,13.71,97,1,1,0
Hotel,CD-7,8,61721,93.0,2897079.75,36.92,106,1,1,0
Small- and Mid-Sized Office,CD-7,2,25920,75.0,1793851.375,46.48,97,1,1,0
Small- and Mid-Sized Office,CD-3,4,39760,92.0,2478960.0,149.91,91,1,1,1
Other,CD-3,3,30971,,2823184.0,94.85,96,1,1,1
Small- and Mid-Sized Office,CD-3,3,22667,1.0,3767135.0,148.55,70,1,1,1
Warehouse,CD-6,2,33840,,2227638.25,60.88,89,1,1,0
Mixed Use Property,CD-6,3,41827,,4193371.0,110.17,15,1,1,0
Small- and Mid-Sized Office,CD-6,5,33740,79.0,1291405.25,9.0,15,0,1,0
Retail Store,CD-6,2,20516,98.0,1021796.625,42.04,105,1,1,0
Retail Store,CD-6,3,27480,88.0,1215156.25,8.47,110,0,1,0
Mixed Use Property,CD-6,1,46958,95.0,1818867.875,30.32,69,1,1,0
Distribution Center,CD-6,1,26532,5.0,1934224.25,66.53,32,1,1,0
Small- and Mid-Sized Office,CD-6,2,22388,,576405.125,9.46,35,1,1,0
Other,CD-6,1,30730,,3050455.25,73.52,47,1,1,0
Small- and Mid-Sized Office,CD-6,2,35600,47.0,2173143.75,18.34,30,1,1,0
Worship Facility,CD-7,3,62000,81.0,1799664.125,82.34,67,1,1,0
Small- and Mid-Sized Office,CD-7,2,23600,82.0,776248.6875,5.41,35,0,1,0
Small- and Mid-Sized Office,CD-7,3,40067,43.0,2303732.75,16.06,30,0,1,0
Small- and Mid-Sized Office,CD-7,3,26419,67.0,1074989.0,7.49,27,0,1,0
Small- and Mid-Sized Office,CD-7,3,25262,54.0,1469556.25,23.85,37,1,1,0
Other,CD-6,3,53103,,4877959.0,38.12,20,1,1,0
Small- and Mid-Sized Office,CD-7,3,34106,57.0,1619177.125,11.29,36,0,1,0
Small- and Mid-Sized Office,CD-7,3,34545,29.0,2313978.75,16.13,36,0,1,0
Small- and Mid-Sized Office,CD-7,3,70296,86.0,2782066.5,19.39,36,0,1,0
Small- and Mid-Sized Office,CD-7,4,27838,77.0,1217509.125,8.49,114,0,1,0
Distribution Center,CD-1,2,28368,,1856230.625,30.02,45,1,1,0
Other,CD-5,2,92080,,5155090.5,127.1,52,1,1,0
Other,CD-5,1,20236,,1965182.25,49.58,55,1,1,0
Small- and Mid-Sized Office,CD-5,2,39815,62.0,2050600.75,40.22,65,1,1,0
Other,CD-5,4,25557,,2280352.5,15.9,46,0,1,0
Other,CD-5,2,26994,,3076813.25,122.73,58,1,1,0
Warehouse,CD-5,1,48112,73.0,1485945.875,10.36,44,0,1,0
Other,CD-5,1,20909,,1208029.25,32.86,7,1,1,0
Small- and Mid-Sized Office,CD-5,2,42793,27.0,1772188.5,12.35,15,0,1,0
Other,CD-5,2,45000,,5912066.0,176.79,9,1,1,0
Retail Store,CD-5,1,26115,43.0,1689372.625,36.74,18,1,1,0
Worship Facility,CD-4,1,26033,78.0,1149140.25,45.33,67,1,1,0
K-12 School,CD-7,4,48660,82.0,1881516.125,61.98,9,1,1,0
Senior Care Community,CD-7,2,46539,73.0,5400049.5,180.38,46,1,1,0
Residence Hall,CD-7,4,29796,47.0,2233262.0,79.58,107,1,1,0
Retail Store,CD-7,2,26400,36.0,983595.875,17.12,96,1,1,0
Small- and Mid-Sized Office,CD-7,3,38148,98.0,1262255.75,8.8,98,0,1,0
Mixed Use Property,CD-7,2,28800,,456953.0,12.77,88,1,1,0
Worship Facility,CD-7,5,31945,4.0,1806468.0,12.59,61,0,1,0
Small- and Mid-Sized Office,CD-7,5,85963,43.0,4480961.0,31.24,31,0,1,0
Retail Store,CD-7,4,34680,92.0,1169948.875,26.38,116,1,1,0
Worship Facility,CD-7,3,75058,24.0,5587347.0,247.97,48,1,1,0
Retail Store,CD-7,1,36504,2.0,2100982.75,20.76,101,1,1,0
Small- and Mid-Sized Office,CD-7,6,35200,8.0,2998208.25,20.9,109,0,1,0
Small- and Mid-Sized Office,CD-7,5,35840,83.0,1538750.625,48.35,109,1,1,0
Other,CD-7,2,25920,60.0,1333432.125,9.3,75,0,1,0
Small- and Mid-Sized Office,CD-7,4,30525,17.0,2883139.0,73.61,88,0,1,1
Other,CD-7,4,49243,,8476183.0,101.34,52,1,1,0
Other,CD-3,3,20411,,2014475.875,71.23,104,1,1,0
Medical Office,CD-3,2,30855,2.0,2946756.25,85.55,54,1,1,0
Small- and Mid-Sized Office,CD-3,3,73549,90.0,2828950.5,107.45,106,1,1,0
Other,CD-3,5,45780,,10834087.0,462.4,28,1,1,1
Medical Office,CD-3,3,39115,42.0,3735308.5,60.04,53,1,1,0
Other,CD-7,3,38038,,1107290.625,55.61,100,0,1,1
Worship Facility,CD-7,3,37796,55.0,2465983.5,123.41,54,1,1,1
Small- and Mid-Sized Office,CD-6,1,27744,,5355753.0,37.34,23,0,1,0
Warehouse,CD-6,1,36444,80.0,161311.0938,1.12,56,0,1,0
Warehouse,CD-6,1,27553,63.0,966677.125,31.61,66,1,1,0
Distribution Center,CD-6,1,57310,,1253745.5,34.87,65,1,1,0
Mixed Use Property,CD-7,2,25920,,989079.5,16.57,96,1,1,0
Restaurant,CD-7,3,40686,,2106073.5,73.0,97,1,1,0
Retail Store,CD-7,2,45271,57.0,2553763.5,82.72,52,1,1,0
Small- and Mid-Sized Office,CD-7,3,28380,62.0,1372213.375,35.77,96,1,1,0
Large Office,CD-7,5,508160,77.0,28053172.0,487.53,7,1,1,0
Small- and Mid-Sized Office,CD-7,3,26176,95.0,966907.375,32.09,90,1,1,0
Small- and Mid-Sized Office,CD-3,1,37740,1.0,7442314.5,73.48,90,1,1,0
Other,CD-7,1,26000,,5277482.5,184.09,55,0,1,1
Worship Facility,CD-7,3,23241,66.0,739210.5,20.64,7,1,1,0
Other,CD-7,1,155795,,17673018.0,255.83,54,1,1,0
Other,CD-7,1,21018,,1761137.5,24.62,14,0,1,1
Other,CD-7,1,30533,,5903015.0,192.12,18,1,1,0
Other,CD-7,2,33971,,17686444.0,523.95,55,1,1,0
Other,CD-7,2,40600,,2485521.0,41.06,24,1,1,1
Small- and Mid-Sized Office,CD-7,4,38038,84.0,2003807.75,13.97,17,0,1,0
Small- and Mid-Sized Office,CD-7,4,64596,92.0,2524228.25,77.8,9,1,1,0
Small- and Mid-Sized Office,CD-7,3,41466,1.0,9190442.0,234.03,88,1,1,0
Large Office,CD-7,6,130710,92.0,7429423.0,86.51,3,1,1,0
Small- and Mid-Sized Office,CD-7,4,35780,77.0,1912760.75,13.33,90,0,1,0
Mixed Use Property,CD-7,4,25132,41.0,564754.1875,3.94,52,0,1,0
Other,CD-7,1,49680,,2844685.0,119.34,50,0,1,1
Other,CD-7,1,36314,,1832808.75,44.33,54,1,1,1
Other,CD-7,2,25920,,1257774.625,8.77,100,0,1,0
Small- and Mid-Sized Office,CD-7,4,47686,72.0,2071670.25,77.48,97,0,1,1
Small- and Mid-Sized Office,CD-7,6,40715,,2827772.75,44.89,101,1,1,0
Mixed Use Property,CD-7,4,82065,91.0,1717130.875,11.97,26,0,1,0
Small- and Mid-Sized Office,CD-7,4,36160,47.0,1862176.875,12.98,106,0,1,0
Mixed Use Property,CD-7,1,34617,,5136604.5,143.34,98,1,1,0
Small- and Mid-Sized Office,CD-7,5,66900,100.0,1634178.25,14.13,107,1,1,0
Mixed Use Property,CD-7,3,29340,,2160420.0,75.99,106,1,1,0
Other,CD-7,2,22710,,287763.5,2.01,86,0,1,0
Small- and Mid-Sized Office,CD-4,3,50499,13.0,3205182.5,22.46,16,1,1,0
Small- and Mid-Sized Office,CD-4,5,54465,68.0,3600571.25,41.22,52,1,1,0
K-12 School,CD-3,2,45960,56.0,4167253.75,182.81,86,1,1,0
Small- and Mid-Sized Office,CD-7,2,21128,97.0,436604.0938,3.04,57,0,1,0
Mixed Use Property,CD-7,4,274442,,9155568.0,220.26,8,1,1,0
Small- and Mid-Sized Office,CD-7,3,51552,,1539066.375,10.73,3,0,1,0
Hotel,CD-7,4,38520,37.0,2804534.0,75.25,57,1,1,0
Hotel,CD-7,3,29186,95.0,867184.375,30.22,55,1,1,0
Worship Facility,CD-7,1,27338,56.0,581289.0,4.05,56,0,1,0
Other,CD-3,2,85750,,2045592.0,77.76,17,1,1,0
Laboratory,CD-7,2,34416,,12015936.0,422.45,54,1,1,0
Small- and Mid-Sized Office,CD-7,3,45864,94.0,2590622.0,115.43,86,1,1,0
K-12 School,CD-5,2,49252,23.0,3485865.5,104.91,17,1,1,0
Small- and Mid-Sized Office,CD-4,3,33176,89.0,1426279.5,35.96,29,1,1,0
Retail Store,CD-4,3,25194,,1878742.875,55.95,23,1,1,0
Worship Facility,CD-2,99,21948,80.0,326001.1875,2.27,39,0,1,0
Other,CD-3,3,31191,,5876439.0,167.98,89,1,1,0
Other,CD-5,1,37377,,3040978.0,111.73,69,1,1,0
Warehouse,CD-2,1,29380,33.0,856088.625,5.97,39,0,1,0
Worship Facility,CD-3,2,22688,87.0,331675.0,7.07,94,1,1,0
Other,CD-2,2,22364,,1467029.75,54.44,54,1,1,0
Small- and Mid-Sized Office,CD-2,2,41262,84.0,1903455.875,13.27,34,0,1,0
Small- and Mid-Sized Office,CD-7,2,43183,,7408342.0,92.45,63,1,1,0
Worship Facility,CD-4,3,45680,79.0,2077039.375,86.81,108,1,1,0
Senior Care Community,CD-7,14,724148,8.0,37797084.0,913.07,10,1,1,0
Worship Facility,CD-1,1,23562,96.0,531737.1875,3.71,59,0,1,0
Small- and Mid-Sized Office,CD-6,4,28844,,910718.6875,6.35,17,0,1,0
Warehouse,CD-2,1,21101,,675772.875,27.97,27,1,1,0
Refrigerated Warehouse,CD-2,2,45594,75.0,1351267.875,9.42,102,0,1,0
Other,CD-2,1,26660,,2241280.5,15.62,66,0,1,0
Warehouse,CD-2,1,28126,44.0,870625.8125,18.63,41,1,1,0
Warehouse,CD-2,1,35000,53.0,378714.4063,2.64,52,0,1,0
Warehouse,CD-2,1,26150,6.0,1208407.625,26.55,54,1,1,0
Small- and Mid-Sized Office,CD-2,2,24000,73.0,1088556.25,7.59,49,0,1,0
K-12 School,CD-3,5,43594,38.0,2478045.5,73.26,48,1,1,0
Distribution Center,CD-4,1,28080,,794724.625,18.54,104,1,1,0
Senior Care Community,CD-5,2,51298,85.0,5655578.0,203.73,62,1,1,0
Worship Facility,CD-5,1,22047,100.0,265774.9063,1.85,54,0,1,0
Warehouse,CD-1,1,31600,3.0,3363535.5,103.28,37,1,1,0
Warehouse,CD-1,1,35289,63.0,876425.0,23.9,9,1,1,0
Warehouse,CD-1,1,28920,50.0,1750419.0,80.09,35,1,1,0
Warehouse,CD-1,1,22176,60.0,736428.625,32.77,38,1,1,0
Small- and Mid-Sized Office,CD-5,3,39927,38.0,3568419.5,24.88,42,0,1,0
Other,CD-5,1,30610,,4294550.0,135.81,37,1,1,0
Medical Office,CD-5,2,26930,64.0,1002995.0,6.99,36,0,1,0
Medical Office,CD-5,2,38745,76.0,2890379.0,49.62,48,1,1,0
Self-Storage Facility,CD-4,2,20296,,855665.125,5.97,57,0,1,0
Mixed Use Property,CD-4,2,22135,,1261634.5,27.41,71,1,1,0
Medical Office,CD-4,3,38378,86.0,1645605.125,53.73,49,1,1,0
Warehouse,CD-4,2,33576,64.0,1275231.75,49.73,36,1,1,0
Supermarket / Grocery Store,CD-4,1,33005,21.0,10642754.0,225.67,41,1,1,0
Other,CD-3,1,20971,,729397.1875,5.08,35,0,1,0
Small- and Mid-Sized Office,CD-7,3,23910,,873577.3125,15.11,89,1,1,0
Worship Facility,CD-6,2,21765,80.0,431390.4063,17.38,106,1,1,0
Worship Facility,CD-3,2,26560,1.0,1751483.875,64.88,115,1,1,0
Warehouse,CD-4,2,20140,49.0,116486.6016,0.81,59,0,1,0
Retail Store,CD-2,2,38845,82.0,6917280.0,215.56,24,1,1,0
Supermarket / Grocery Store,CD-2,1,26092,40.0,7619445.0,173.75,63,1,1,0
Small- and Mid-Sized Office,CD-2,1,25500,98.0,1213869.75,55.3,49,1,1,0
Warehouse,CD-2,1,41895,,1242311.5,25.09,55,1,1,0
Retail Store,CD-2,2,56193,,2497942.75,46.9,58,1,1,0
K-12 School,CD-6,3,35448,97.0,1379932.5,60.34,94,1,1,0
Supermarket / Grocery Store,CD-6,1,29214,8.0,9336239.0,208.53,50,1,1,0
Supermarket / Grocery Store,CD-6,1,89103,34.0,14029480.0,384.85,16,1,1,0
Other,CD-6,1,32000,,1331122.125,45.38,55,1,1,0
Mixed Use Property,CD-6,2,31140,,935580.3125,38.86,106,1,1,0
Warehouse,CD-6,3,41478,3.0,3035962.25,78.22,41,1,1,0
Warehouse,CD-6,1,39840,2.0,752104.0,5.24,36,0,1,0
Other,CD-6,1,30576,,1533245.75,38.52,12,1,1,0
Other,CD-6,2,21528,,306911.0938,6.61,92,1,1,0
Other,CD-6,2,30000,,1094940.75,13.14,88,1,1,0
Other,CD-6,2,30087,,5274642.0,36.77,74,0,1,0
Worship Facility,CD-6,1,40445,92.0,786253.6875,29.24,41,1,1,0
Retail Store,CD-6,1,23500,53.0,1137967.5,13.29,20,1,1,0
Retail Store,CD-6,1,22420,82.0,1404253.75,31.79,49,1,1,0
Supermarket / Grocery Store,CD-7,1,25842,35.0,8518313.0,237.54,55,1,1,0
Small- and Mid-Sized Office,CD-7,3,26389,,1208035.375,8.42,24,0,1,0
Small- and Mid-Sized Office,CD-7,3,25859,88.0,858780.625,14.9,34,1,1,0
Warehouse,CD-7,1,25600,1.0,1730600.625,34.26,42,1,1,0
Other,CD-7,1,23169,,222255.9063,1.55,51,0,1,0
Small- and Mid-Sized Office,CD-7,4,41784,89.0,1294615.25,9.03,8,0,1,0
Warehouse,CD-7,1,56884,71.0,1388345.125,37.49,56,1,1,0
Retail Store,CD-6,1,32810,66.0,2017967.75,46.44,27,1,1,0
Self-Storage Facility,CD-7,3,30989,,97690.39844,0.68,36,0,1,0
Self-Storage Facility,CD-7,3,39952,,57133.19922,0.4,101,0,1,0
Small- and Mid-Sized Office,CD-7,2,20022,80.0,657385.8125,4.58,55,0,1,0
Distribution Center,CD-7,2,36498,89.0,520011.8125,14.81,56,1,1,0
Distribution Center,CD-7,1,35946,,469499.8125,11.08,48,1,1,0
Small- and Mid-Sized Office,CD-7,4,30152,96.0,845044.125,5.94,9,1,1,0
Small- and Mid-Sized Office,CD-7,4,22365,71.0,727385.8125,5.07,37,0,1,0
Small- and Mid-Sized Office,CD-7,4,30172,82.0,904059.875,6.3,22,0,1,0
Warehouse,CD-6,4,42500,100.0,241478.5938,1.68,89,0,1,0
Small- and Mid-Sized Office,CD-6,4,23032,,1121537.75,7.82,115,0,1,0
Other,CD-6,3,45750,,7240274.0,303.81,116,1,1,0
Small- and Mid-Sized Office,CD-6,2,23500,26.0,1686405.0,34.52,48,1,1,0
Small- and Mid-Sized Office,CD-6,1,22282,93.0,579888.3125,16.67,50,1,1,0
Self-Storage Facility,CD-6,2,24000,,502898.6875,17.39,114,1,1,0
Mixed Use Property,CD-6,3,27085,,1995131.75,60.67,107,1,1,0
Other,CD-5,2,29258,,8086943.5,309.14,20,1,1,0
Small- and Mid-Sized Office,CD-5,2,37500,58.0,2235765.5,44.26,85,1,1,0
K-12 School,CD-5,3,23983,61.0,1164364.75,33.28,86,1,1,0
Distribution Center,CD-1,1,24100,22.0,809870.8125,30.49,36,1,1,0
K-12 School,CD-4,2,31343,5.0,3846501.25,128.66,12,1,1,0
Mixed Use Property,CD-6,3,55912,,2450442.75,17.08,20,0,1,0
Other,CD-7,2,20294,,1735995.75,67.45,59,1,1,0
Small- and Mid-Sized Office,CD-7,4,40571,64.0,1286817.375,8.97,33,0,1,0
Small- and Mid-Sized Office,CD-7,4,41707,78.0,1755788.5,12.24,33,0,1,0
Mixed Use Property,CD-7,2,57644,,2189735.0,42.87,56,1,1,0
Warehouse,CD-7,2,39497,9.0,1700057.375,28.28,61,1,1,0
Other,CD-3,1,33087,,3548858.25,121.9,84,1,1,0
Small- and Mid-Sized Office,CD-5,2,27574,73.0,1211349.25,8.44,34,0,1,0
Senior Care Community,CD-5,5,43661,4.0,3936421.5,82.57,18,1,1,0
Small- and Mid-Sized Office,CD-5,3,76105,91.0,2472350.25,17.24,29,0,1,0
Mixed Use Property,CD-5,2,32009,,1998725.25,44.28,64,1,1,0
Medical Office,CD-5,3,28841,55.0,1459199.75,33.42,28,1,1,0
Self-Storage Facility,CD-5,2,33344,,123767.2031,0.86,39,0,1,0
Other,CD-5,1,30498,,2436063.0,80.19,11,1,1,0
K-12 School,CD-1,2,42975,92.0,959352.0,42.96,92,1,1,0
Other,CD-1,1,23260,,1612105.75,52.41,53,1,1,0
Small- and Mid-Sized Office,CD-1,2,30659,88.0,2619088.5,55.85,28,1,1,0
Other,CD-7,2,27144,,1012024.313,32.58,96,1,1,0
Other,CD-5,1,23166,,3475804.25,184.6,46,1,1,0
Medical Office,CD-5,2,34759,81.0,1633105.375,11.39,37,0,1,0
Hospital,CD-5,1,415632,85.0,98960776.0,3278.11,50,1,1,0
Worship Facility,CD-5,2,44719,,1614026.25,53.21,51,1,1,0
Supermarket / Grocery Store,CD-2,1,21603,16.0,5833800.0,129.89,51,1,1,0
Medical Office,CD-3,3,591981,60.0,102673696.0,3238.24,52,1,1,0
Distribution Center,CD-1,1,42900,53.0,436252.5,3.04,37,0,1,0
Other,CD-1,1,26232,,3094090.0,122.71,45,1,1,0
Warehouse,CD-3,2,25840,92.0,313528.0938,2.19,60,0,1,0
Small- and Mid-Sized Office,CD-2,1,45145,,1268459.0,43.63,28,1,1,0
Small- and Mid-Sized Office,CD-3,5,70332,89.0,1981115.25,19.12,15,1,1,0
Supermarket / Grocery Store,CD-6,1,45522,22.0,12250422.0,326.74,22,1,1,0
Retail Store,CD-5,2,20088,,326778.6875,2.28,37,0,1,0
Small- and Mid-Sized Office,CD-1,2,40657,57.0,2826828.0,23.6,19,1,1,0
Warehouse,CD-1,1,20200,,269016.6875,2.25,116,1,1,0
Residence Hall,CD-3,1,44086,29.0,3652708.75,184.0,112,1,1,1
Small- and Mid-Sized Office,CD-3,7,54372,94.0,1403820.0,9.79,46,0,1,0
Other,CD-3,1,47699,,14524386.0,712.39,65,1,1,1
Medical Office,CD-3,0,274568,52.0,25311526.0,1110.07,71,0,1,1
Small- and Mid-Sized Office,CD-3,3,21282,69.0,1245923.75,62.23,60,0,1,1
Other,CD-2,2,41022,,3787648.25,26.41,95,0,1,0
Other,CD-1,2,28109,,3612526.75,38.39,50,1,1,0
Small- and Mid-Sized Office,CD-5,3,33580,100.0,409578.4063,2.86,31,0,1,0
Warehouse,CD-5,1,21936,100.0,113130.0,2.69,39,1,1,0
Other,CD-5,1,30160,,1045838.5,44.26,47,1,1,0
Mixed Use Property,CD-7,11,111137,,9546165.0,294.65,107,1,1,0
Other,CD-1,1,40189,,1509292.0,37.65,19,1,1,0
Small- and Mid-Sized Office,CD-1,2,66484,69.0,3046543.0,21.24,28,0,1,0
Small- and Mid-Sized Office,CD-3,3,25151,85.0,1356874.75,62.05,57,0,1,1
Hotel,CD-3,6,35770,56.0,2640980.25,112.34,88,1,1,0
Hotel,CD-3,9,48006,85.0,3239754.0,101.31,88,1,1,0
Mixed Use Property,CD-2,2,29631,,5144392.0,146.93,56,1,1,0
Small- and Mid-Sized Office,CD-2,2,23472,,1625308.625,46.45,27,1,1,0
Small- and Mid-Sized Office,CD-2,2,21315,34.0,2796425.0,110.66,43,1,1,0
Small- and Mid-Sized Office,CD-7,4,57110,69.0,2190460.0,24.31,32,1,1,0
Small- and Mid-Sized Office,CD-7,3,34030,50.0,1748629.875,22.26,37,1,1,0
Restaurant,CD-1,2,20398,,9313513.0,334.15,114,1,1,0
Distribution Center,CD-2,1,41308,7.0,1642471.5,38.57,64,1,1,0
Mixed Use Property,CD-7,3,43878,,769771.3125,5.37,103,0,1,0
Other,CD-7,3,34976,,873711.125,15.7,104,1,1,0
Warehouse,CD-7,1,38255,12.0,985401.8125,33.8,59,1,1,0
Small- and Mid-Sized Office,CD-6,3,48924,71.0,2282551.25,59.24,27,1,1,0
Small- and Mid-Sized Office,CD-4,4,50333,88.0,1602084.375,11.17,57,0,1,0
Small- and Mid-Sized Office,CD-4,4,57432,,2520483.25,17.57,30,0,1,0
Small- and Mid-Sized Office,CD-4,3,25912,,666740.3125,4.65,47,0,1,0
Small- and Mid-Sized Office,CD-4,3,57132,73.0,1994967.75,13.91,16,0,1,0
Worship Facility,CD-1,2,24224,52.0,968026.3125,26.73,59,1,1,0
Worship Facility,CD-1,1,23706,78.0,400770.9063,13.12,53,1,1,0
Warehouse,CD-2,1,31900,,1964681.25,13.7,53,0,1,0
Other,CD-1,1,49066,,3835202.0,178.86,99,1,1,0
Worship Facility,CD-1,3,30740,,1686262.25,61.3,64,1,1,0
Supermarket / Grocery Store,CD-2,1,67450,97.0,2842819.5,55.86,57,1,1,0
Warehouse,CD-7,1,46970,,882896.5,6.16,68,0,1,0
Warehouse,CD-7,1,47554,,1035554.688,16.04,85,1,1,0
Small- and Mid-Sized Office,CD-7,2,43016,100.0,1234095.5,60.57,37,1,1,0
Mixed Use Property,CD-7,1,24196,,1055033.0,22.29,85,1,1,0
Small- and Mid-Sized Office,CD-7,2,20671,98.0,638507.125,24.76,76,1,1,0
Warehouse,CD-2,1,21600,57.0,499828.5938,14.36,89,1,1,0
Worship Facility,CD-1,1,35844,14.0,866126.375,6.04,39,0,1,0
Small- and Mid-Sized Office,CD-4,3,31774,85.0,1639136.25,18.87,100,1,1,0
Warehouse,CD-2,1,26094,19.0,709990.8125,4.95,63,0,1,0
Small- and Mid-Sized Office,CD-2,2,23687,68.0,1084553.75,7.56,33,0,1,0
Small- and Mid-Sized Office,CD-2,2,24221,20.0,1435562.75,10.01,33,0,1,0
Mixed Use Property,CD-7,2,71919,37.0,5381105.0,37.51,116,0,1,0
Small- and Mid-Sized Office,CD-7,2,32027,54.0,3999505.25,128.41,116,1,1,0
Small- and Mid-Sized Office,CD-7,3,32160,,2805826.0,19.56,110,0,1,0
Other,CD-2,3,47836,,3540225.75,109.59,24,1,1,0
Small- and Mid-Sized Office,CD-2,3,34425,84.0,2018385.75,50.07,102,1,1,0
Medical Office,CD-1,3,40304,5.0,1961581.5,13.67,32,0,1,0
Distribution Center,CD-1,1,29619,50.0,1280263.75,42.45,26,1,1,0
K-12 School,CD-3,2,21592,47.0,1431784.0,54.24,94,1,1,0
K-12 School,CD-5,2,23923,69.0,805643.5,19.51,85,1,1,0
Small- and Mid-Sized Office,CD-3,3,25200,47.0,1748444.25,37.08,109,1,1,0
Small- and Mid-Sized Office,CD-3,2,28296,80.0,1328461.25,9.26,53,0,1,0
Small- and Mid-Sized Office,CD-3,3,31357,55.0,1965075.625,22.48,17,1,1,0
Distribution Center,CD-2,1,160000,94.0,1157976.5,8.07,48,0,1,0
Warehouse,CD-2,1,53550,11.0,4590246.5,174.62,56,1,1,0
Warehouse,CD-2,1,38412,62.0,1628540.0,67.05,92,1,1,0
Self-Storage Facility,CD-2,1,25881,,545426.375,3.8,86,0,1,0
Small- and Mid-Sized Office,CD-2,1,24291,98.0,655422.375,19.61,63,1,1,0
Warehouse,CD-2,1,36544,5.0,1269847.75,8.85,50,0,1,0
Warehouse,CD-2,1,20796,,1324092.125,51.1,67,1,1,0
Distribution Center,CD-2,1,21349,70.0,659761.875,17.04,69,1,1,0
Warehouse,CD-2,1,38630,33.0,416885.5938,2.91,80,0,1,0
Warehouse,CD-2,1,20724,,1832031.5,83.3,66,1,1,0
Other,CD-2,1,24109,,4747403.5,33.1,56,0,1,0
Refrigerated Warehouse,CD-2,1,25375,,4069301.5,28.37,61,0,1,0
Warehouse,CD-2,1,22803,78.0,764094.5,21.5,31,1,1,0
Mixed Use Property,CD-2,1,23100,,4323672.0,157.07,31,1,1,0
Refrigerated Warehouse,CD-2,1,41550,94.0,642645.1875,4.48,65,0,1,0
Other,CD-1,2,54170,,5804784.5,178.35,22,1,1,0
K-12 School,CD-2,2,42252,49.0,2203758.5,102.35,104,1,1,0
Self-Storage Facility,CD-2,1,23100,,863703.0,13.87,61,1,1,0
Worship Facility,CD-2,3,22895,96.0,440419.1875,12.92,35,1,1,0
Self-Storage Facility,CD-5,6,48179,,797170.3125,12.22,10,1,1,0
Warehouse,CD-2,1,52325,67.0,808968.1875,18.03,79,1,1,0
Other,CD-2,4,20600,,270838.5,9.71,96,1,1,0
Retail Store,CD-2,1,25880,100.0,162960.0,1.14,72,0,1,0
Warehouse,CD-2,1,45842,99.0,819354.625,12.55,56,1,1,0
Other,CD-2,1,31365,,652991.6875,5.09,44,1,1,0
Other,CD-2,1,32100,,758008.875,25.77,106,1,1,0
Warehouse,CD-2,1,20520,20.0,1167887.75,40.85,50,1,1,0
Warehouse,CD-2,1,22972,12.0,495481.0,3.45,71,0,1,0
Warehouse,CD-2,1,24990,80.0,523614.0938,8.7,63,1,1,0
Retail Store,CD-2,2,24000,,1318947.25,40.94,65,1,1,0
Warehouse,CD-2,1,100386,,3626431.5,95.93,53,1,1,0
Distribution Center,CD-2,1,24354,10.0,735907.8125,17.29,50,1,1,0
Distribution Center,CD-2,1,33600,58.0,847419.375,15.35,57,1,1,0
Other,CD-2,1,20819,,1694930.375,51.27,42,1,1,0
Warehouse,CD-2,1,23296,,1429855.75,40.01,49,1,1,0
Mixed Use Property,CD-2,1,35222,,1758134.625,40.42,62,1,1,0
Refrigerated Warehouse,CD-2,1,25520,100.0,1610794.75,59.0,59,1,1,0
Other,CD-2,1,25460,,834711.875,5.82,64,0,1,0
Small- and Mid-Sized Office,CD-5,2,24291,87.0,920430.625,6.42,42,0,1,0
Retail Store,CD-5,2,20738,44.0,526752.8125,3.67,58,0,1,0
Mixed Use Property,CD-5,4,30948,,919746.3125,6.41,16,0,1,0
Medical Office,CD-5,2,28385,1.0,2654316.0,18.5,30,0,1,0
Warehouse,CD-2,1,21755,,844076.8125,17.51,38,1,1,0
Other,CD-2,1,27933,,6129780.0,42.73,56,0,1,0
